1,Crunchy Thai Market Salad,11.29,"""Chicken:7,Hearts of Palm:5,Radish:6,Rice Crackers:6,Romaine:12,Cabbage:6,Cilantro:4""",320,No,thai_salad.png,"Satay chicken, pickled hearts of palm, fresh radish, crispy rice crackers, romaine, cabbage & cilantro blend. "
2,Green Curry Meatball Bowl,10.99,"""Grains:12,Green Curry Turkey Meatballs:5,Hearts of Palm:6,Coconut Garlic:4,Cabbage:7,Cilantro:4""",650,Yes,green_curry_meatball.png,"Warm grains topped with green curry turkey meatballs, pickled hearts of palm, toasted coconut garlic crunch, cabbage "
3,Shrimp Summer Roll Salad,12.99,"""Shrimp:6,Rice Noodles:4,Spicy Cabbage Slaw:3,Cucumber:5,Shallots:6,Romaine:12,Cabbage:6,Cilantro:5""",270,Yes,shrimp_summer.png,"Wild-caught shrimp, rice noodles, spicy cabbage slaw, English cucumbers, crispy shallots, romaine, cabbage & cilantro blend"
4,Chicken Tinga Bowl,11.49,"""Grains:6,Chicken:5,Avocado:2,Black Beans:7,Tortilla Chips:6,Scallions:3,Cheese:5,Kale:7""",780,No,chicken_tinga.png,"Warm grains drizzled with Mexican Goddess and topped with braised chicken tinga, avocado, black beans, tortilla chips, scallions, cotija cheese, marinated kale"
5,Korean BBQ Bowl,10.49,"""Grains:7,Pork:6,Carrots:7,Jalapeno Peppers:4,Onions:4,Cabbage:10,Cilantro:3""",460,No,korean_bbq.png,"Warm grains drizzled with Spicy Sesame Vinaigrette and topped with spicy braised pork, rainbow carrots, jalapeno peppers, pickled red onions, cabbage & cilantro blend"
6,Harvest Bowl,11.29,"""Grains:8,Chicken:6,Brussels Sprouts:8,Sweet Potatoes:5,Kale:8,Pumpkin Seeds:2""",720,No,harvest_bowl.png,"Warm grains drizzled with Creamy Lemon Herb Dressing and topped with warm roasted chicken, roasted Brussels sprouts & sweet potatoes, marinated kale, toasted pumpkin seeds"
7,Mediterranean Bowl,10.99,"""Grains:8,Chicken:6,Cucumber Tomato Salad:4,Feta:6,Mama Lil's Spicy Peppers:4,Cabbage:8,Cilantro:3,Chickpeas:4""",620,No,med_bowl.png,"Warm grains drizzled with Lemon Tahini Dressing and topped with warm roasted chicken, cucumber & tomato salad, feta, Mama Lil's spicy peppers, cabbage & cilantro blend, crispy chickpeas"
8,Mexican Caesar Salad,8.49,"""Cheese:3,Jalapeno Peppers:2,Tortilla Chips:2,Romaine:4""",260,Yes,mexican_caesar.png,"Cotija cheese, jalapeno peppers, tortilla chips, romaine"
9,Santa Fe Salad,8.99,"""Avocado:3,Tomatoes:3,Corn:2,Cheese:2,Shallots:3,Romaine:5""",440,No,santa_fe.png,"Avocado, grape tomatoes, corn, pepperjack, crispy shallots, romaine"
10,Classic Cobb Salad,12.49,"""Chicken:4,Avocado:6,Bacon:3,Eggs:2,Cheese:3,Tomatoes:2,Romaine:4""",490,No,classic_cobb.png,"Cage-free grilled chicken, avocado, Niman Ranch smoked bacon, cage free egg, blue cheese, grape tomatoes, romaine"
11,Kebab Cobb Salad,9.49,"""Feta:6,Onions:3,Mama Lil's Spicy Peppers:3,Pita Chips:6,Romaine:10""",440,No,kebab_cobb.png,"Feta, pickled red onions, Mama Lil's spicy peppers, pita chips, romaine"
12,Crispy Chicken Ranch Salad,10.99,"""Chicken:6,Mama Lil's Spicy Peppers:4,Cheese:6,Celery:3,Lettuce:10""",680,No,crispy_chicken.png,"Panko fried chicken, Mama Lil's spicy peppers, pepperjack, celery, Chopt lettuce blend"
13,Asian Crunch Salad,10.29,"""Chicken:5,Carrots:2,Onions:3,Shallots:2,Romaine:3,Cabbage:3,Cilantro:3""",260,No,asain_crunch.png,"Cage-free grilled chicken, rainbow carrots, broccoli, pickled red onions, crispy shallots, romaine, cabbage & cilantro blend"
14,Kale Caesar Salad,7.99,"""Parmesan:2,Croutons:3,Kale:4,Romaine:3""",180,No,kale_caesar.png,"Parmesan, Homemade croutons, kale & romaine"
15,Palm Beach Salad,9.49,"""Avocado:3,Tomatoes:2,Cucumbers:2,Hearts of Palm:2,Romaine:3""",170,No,palm_beach.png,"Avocado, grape tomatoes, English cucumbers, hearts of palm, romaine"
16, Mexicali Vegan Salad,9.99,"""Sweet Potatoes:3,Hearts of Palm:2,Black Beans:3,Tortilla Chips:1,Jalapeno Peppers:2,Romaine:3,Spinach:3""",390,No,mexicali.png,"Roasted sweet potatoes, hearts of palm, grape tomatoes, black beans, tortilla chips, jalapeno peppers, romaine & spinach"
